epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,58503.5,1.12808,2.87996,1.29804,0.97092,0.90756,0.91849,0.64178,1.12594,2.24219,1.313,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,58973.5,1.1239,2.86406,1.29981,0.9709,0.90767,0.91862,0.64319,1.12183,2.23888,1.31029,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,59438.4,1.11362,2.8599,1.28309,0.97091,0.90788,0.91973,0.64437,1.11697,2.23773,1.30702,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,59902,1.10579,2.8186,1.28527,0.97094,0.90788,0.91994,0.64592,1.1125,2.23082,1.30392,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,60378.9,1.10274,2.80986,1.28073,0.97111,0.90809,0.92022,0.64781,1.10751,2.22823,1.30057,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,60852.3,1.08738,2.76546,1.27255,0.97089,0.90825,0.92028,0.64877,1.10265,2.22055,1.29728,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,61327.4,1.08386,2.77542,1.27296,0.97103,0.9082,0.92035,0.65055,1.0977,2.21405,1.29376,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,61764.7,1.08227,2.773,1.27121,0.97052,0.9084,0.92035,0.65139,1.09267,2.21252,1.29044,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,62311.3,1.07278,2.74283,1.2612,0.97099,0.90844,0.92054,0.65316,1.08768,2.20752,1.28702,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,62777.5,1.05797,2.72292,1.25119,0.9713,0.90863,0.92077,0.65496,1.08253,2.20128,1.28358,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,63258,0.91276,2.0167,1.22135,0.97136,0.90932,0.92073,0.65655,1.07715,2.19584,1.28022,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,63741.1,0.89569,1.95785,1.2126,0.97196,0.90955,0.92083,0.65902,1.07246,2.19298,1.27678,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,64214.1,0.8808,1.95669,1.1955,0.97195,0.90947,0.92109,0.66182,1.067,2.1868,1.27318,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,64683.6,0.86386,1.92803,1.1888,0.97191,0.90939,0.92024,0.66254,1.06165,2.17584,1.2697,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,65138,0.85216,1.90334,1.17918,0.97143,0.9093,0.92035,0.66398,1.0563,2.17004,1.26621,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,65611.2,0.84179,1.87368,1.1735,0.97138,0.90904,0.92036,0.66572,1.05055,2.16689,1.26248,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,66164.9,0.83163,1.85788,1.16532,0.97154,0.90904,0.92022,0.66786,1.04498,2.15926,1.25884,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,66630.1,0.81954,1.84908,1.15744,0.97198,0.90929,0.92018,0.66986,1.0396,2.15336,1.25509,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,67113.9,0.80963,1.81821,1.14818,0.97169,0.90984,0.92071,0.6718,1.03399,2.14748,1.25129,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,67580.4,0.80114,1.82393,1.14183,0.97162,0.90973,0.92005,0.67245,1.02872,2.14394,1.24782,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
